,category_level_1,total_price_in_basket,number_of_unique_basket
142,Household Security Systems,230.72439156853966,1890
143,Humidifiers,359.3947058105469,17
144,Ice Maker & Ice Cream Moulds,238.21798084139826,208
145,Impact Drivers,325.5382351056267,17
146,Industrial Adhesives & Tapes,479.67519195612437,562
147,Industrial Supplies,681.8052272146398,44
148,Inspection Tools,194.18678445977795,283
149,Interior Care,255.7784256559767,686
150,Jewellery storage,417.63617061327534,598
151,Jewelry Organizers,955.4596593907412,4191
152,Joggers,938.9584374904632,34
153,Kettles,1591.3333333333333,3
154,Kids Bed Frame,6851.967872069338,47
155,Kids Bookcases & Shelving,1051.1299501834699,603
156,Kids Chairs & Seats,781.5255047607658,505
157,Kids Tables & Sets,287.6719288926762,2364
158,Kitchen Canisters & Jars,333.3523144067332,1162
159,Kitchen Organizers,450.3980250488375,3985
160,Kitchen Racks,541.7516892670607,41109
161,Kitchen Weighing Scales,264.78434419381784,2397
162,Knife Sharpeners & Blocks,358.07628822300273,1048
163,Knives & Kitchen Scissors,387.2707053559679,7600
164,LED Bulbs,855.3999995422364,8
165,Ladders,786.59375,32
166,Ladders & Workbenches,601.4955554538303,18
167,Laptop Bags & Cases,5956.815606060606,136
168,Laptop stands,597.5297139926331,1260
169,Laundry & Ironing Tools,296.60307412939443,283
170,Laundry Bags & Baskets,564.4510853404698,3363
171,Laundry Baskets & Hampers,722.6627860172708,201
172,Lawn Mowers,1056.9470588235292,69
173,Levels,353.1616281269872,43
174,Lighting,293.19449626865674,4288
175,Lighting Fixtures & Components,328.4452111589405,82
176,Living Room Furniture Sets,2460.319999112216,11
177,Lunch Bags & Boxes,208.82986011702073,5089
178,Makeup Bags & Organizers,158.61209998313188,400
179,Masks & Filters,271.8707615951816,8743
180,Massage Chairs & Massager,3011.1412506103516,16
181,Mattress Protectors & Toppers,530.5079999199669,1200
182,Mattresses,713.8088233344134,89
183,Measuring Tapes,484.55102040816325,50
184,Measuring Tools & Scales,155.32494381481527,2581
185,Media & TV Storage,478.04951118997013,4216
186,Medical Gloves & Masks,242.33922369765065,12754
187,Mesh Covers,321.4360358840536,1004
188,Milk Frothers,298.650807450099,161
189,Mirrors,815.7041140957714,1973
190,Mops,277.626322917832,257282
191,Mosquito Nets,390.4382716049383,162
192,Mouse Pads,333.8994957983193,2975
193,Multi-function Cookers,693.75,100
194,Multipurpose Cleaner,338.5551664296409,2253
195,"Nails, Screws & Fasteners",384.4204166415003,72
196,Office Sets,2239.5167310039815,53
197,Organizers & Compartments,414.2821052631579,475
198,Other Specialty Kitchen Tools,198.0651697298278,6696
199,Others,395.0417231622746,18025
200,Outdoor Lighting,313.14596150636675,52
201,Outdoor Seating,714.220029791097,2677
202,Outdoor Sets,1257.3395398919965,891
203,Outdoor Tables,598.4418342162511,2149
204,Pans,296.04911093627067,6355
205,Peelers & Slicers,637.0956249189377,32
206,Picture Hangers & Hooks,186.34538814137647,5668
207,Pillow Cases & Bolster Cases,349.0195630544011,389
208,Pillows,374.8867667121419,733
209,Pillows & Bolsters,1582.8875007629395,8
210,Plastic Bags & Trash Bags,555.4338173870811,2112
211,Plates,691.0296296296297,135
212,Pliers,621.0964615302453,65
213,Pocket Tissues,978.317142628261,14
214,Portable Chairs,345.55204396956907,2687
215,Pots,236.39346074683917,3401
216,Pots & Pans,358.41396156507955,833
217,Pots & Planters,401.79487116564417,1630
218,"Pots, Planters & Urns",262.39271283297114,2271
219,Potty Chair,380.6662204979724,127
220,Potty Seats,456.38793388587385,121
221,Potty Training & Commode Chairs,289.92604804521903,2131
222,Poufs-new,1401.8834516366605,113
223,Power Welding Tools,597.0,8
224,Preparation & Cutting Boards,500.27645750661605,223
